                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.44663,                 0.2835,                0.85657,                0.95572,                0.93727,                0.98555,                0.87997,                0.35896,                0.17134,                0.82363,              0.0057925,              0.0057925,              0.0057925
                     87,                 0.4457,                0.28323,                0.85664,                0.95618,                0.93715,                0.98063,                0.87871,                0.35862,                 0.1711,                0.82357,               0.005743,               0.005743,               0.005743
                     88,                0.44309,                0.28088,                0.85598,                0.95983,                0.93714,                0.98556,                0.88194,                0.35837,                0.17081,                0.82371,              0.0056935,              0.0056935,              0.0056935
                     89,                0.44419,                0.27831,                0.85564,                 0.9657,                0.93689,                0.98534,                0.88112,                0.35767,                 0.1702,                 0.8235,               0.005644,               0.005644,               0.005644
                     90,                0.44287,                0.27606,                0.85481,                0.96687,                0.93662,                0.98543,                0.88451,                0.35741,                0.16996,                0.82336,              0.0055945,              0.0055945,              0.0055945
                     91,                0.44182,                0.27919,                0.85407,                0.96648,                0.93665,                0.98559,                0.88346,                0.35662,                0.17011,                0.82312,               0.005545,               0.005545,               0.005545
                     92,                0.44407,                  0.281,                0.85616,                0.96675,                0.93676,                0.98554,                0.88122,                0.35603,                0.16957,                0.82315,              0.0054955,              0.0054955,              0.0054955
                     93,                0.44129,                0.27726,                0.85503,                0.95546,                0.93964,                0.99058,                0.88765,                0.35572,                0.16934,                  0.823,               0.005446,               0.005446,               0.005446
                     94,                0.44072,                0.27648,                0.85494,                0.94873,                0.94155,                0.99068,                0.88669,                0.35561,                0.16962,                0.82291,              0.0053965,              0.0053965,              0.0053965
                     95,                0.43708,                0.27382,                0.85338,                 0.9555,                0.93941,                0.99063,                 0.8861,                0.35507,                0.16896,                0.82288,               0.005347,               0.005347,               0.005347
                     96,                0.43957,                0.27684,                0.85481,                0.96112,                0.93837,                0.99065,                0.88676,                0.35489,                0.16903,                 0.8227,              0.0052975,              0.0052975,              0.0052975
                     97,                0.43844,                0.27298,                 0.8542,                 0.9577,                0.93968,                0.99054,                0.88755,                0.35422,                0.16839,                0.82271,               0.005248,               0.005248,               0.005248
                     98,                0.43861,                0.27282,                 0.8552,                0.96191,                0.93809,                0.99057,                0.88765,                0.35396,                0.16849,                0.82277,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.4385,                0.27333,                0.85328,                0.96036,                 0.9391,                 0.9906,                0.88712,                0.35379,                0.16831,                0.82279,               0.005149,               0.005149,               0.005149
                    100,                0.43882,                0.27092,                 0.8547,                0.96101,                0.93812,                0.99067,                0.88557,                0.35377,                0.16748,                0.82269,              0.0050995,              0.0050995,              0.0050995
                    101,                0.43674,                0.27267,                0.85438,                0.94524,                0.95094,                0.98546,                0.88135,                0.35343,                0.16724,                0.82266,                0.00505,                0.00505,                0.00505
                    102,                0.43644,                0.27211,                 0.8532,                0.95217,                  0.949,                0.98559,                0.88143,                0.35263,                0.16677,                0.82245,              0.0050005,              0.0050005,              0.0050005
                    103,                0.43648,                0.27032,                0.85384,                0.95688,                0.94848,                0.98071,                0.87801,                 0.3521,                0.16635,                0.82235,               0.004951,               0.004951,               0.004951
